"PMID"	"First author"	"CITY"	"GEOLONG"	"GEOLAT"	"COUNTRY"	"#SAMPLES"		"PMID"
10374751	"Jeuken JW"	"Nijmegen"	5.84	51.81	"The Netherlands"	29		10374751
10375592	"Sigl E"	"Graz"	15.45	47.07	"Austria"	4		10375592
10379866	"Schmidt H"	"Halle"	8.36	52.06	"Germany"	31		10379866
10379872	"Hirai M"	"Ibaraki"	135.57	34.82	"Japan"	27		10379872
10389760	"Ohshima K"	"Fukuoka-shi"	130.42	33.61	"Japan"	9		10389760
10389929	"Huhn SL"	"San Francisco"	-122.42	37.77	"United States"	30		10389929
10394124	"Shiraishi K"	"Yamaguchi-shi"	131.47	34.19	"Japan"	18		10394124
10398084	"Gronwald J"	"Szczecin"	14.55	53.43	"Poland"	10		10398084
10398097	"Buerger H"	"Muenster"	7.63	51.96	"Germany"	44		10398097
10398098	"Moore E"	"Dublin"	-6.25	53.33	"Ireland"	23		10398098
10398423	"Wolf NG"	"Cleveland"	-84.88	35.16	"United States"	10		10398423
10398425	"Tarkkanen M"	"Helsinki"	24.94	60.17	"Finland"	44		10398425
10398430	"Mechtersheimer G"	"Heidelberg"	8.69	49.41	"Germany"	29		10398430
10408793	"Wilkens L"	"Hannover"	9.73	52.37	"Germany"	45		10408793
10416613	"Dellas A"	"Basel"	7.57	47.56	"Switzerland"	62		10416613
10419593	"van Dekken H"	"Rotterdam"	4.48	51.92	"The Netherlands"	6		10419593
10419597	"Kros JM"	"Rotterdam"	4.48	51.92	"The Netherlands"	15		10419597
10421270	"Russo C"	"San Francisco"	-122.42	37.77	"United States"	53		10421270
10424732	"Nicholson JC"	"Salisbury"	-1.8	51.07	"United Kingdom"	39		10424732
10432933	"Harada K"	"Yamaguchi-shi"	131.47	34.19	"Japan"	12		10432933
10433931	"Bigner SH"	"Durham"	-78.9	35.99	"United States"	55		10433931
10435596	"Smith JS"	"Rochester"	-70.98	43.3	"United States"	115		10435596
10451703	"Reardon DA"	"Memphis"	-90.05	35.15	"United States"	23		10451703
10471057	"Sakakura C"	"Kyoto"	135.75	35.02	"Japan"	35		10471057
10484978	"Crossen PE"	"Christchurch"	172.63	-43.53	"New Zealand"	1		10484978
10492035	"Hui AB"	"Hong Kong"	114.16	22.29	"China"	10		10492035
10492642	"Lin YW"	"Daan District"	121.45	25.03	"Taiwan"	44		10492642
10496356	"James LA"	"Manchester"	-2.24	53.48	"United Kingdom"	11		10496356
10499441	"Jung V"	"Homburg"	7.34	49.33	"Germany"	32		10499441
10502317	"Scarpa A"	"Verona"	10.98	45.43	"Italy"	6		10502317
10502324	"Kujawski M"	"Poznan"	16.93	52.41	"Poland"	36		10502324
